index_code,index_name,query_trading_day,source_api,source_query_code,htsc_code,name,exchange,stock_code,stock_name,stock_exchange,trading_day,weight,in_date,out_date
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000001.SZ,深发展A,XSHE,2019-05-15 00:00:00,0.95,2005-04-08 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000002.SZ,万科A,XSHE,2019-05-15 00:00:00,1.17,2005-04-08 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000063.SZ,中兴通讯,XSHE,2019-05-15 00:00:00,0.62,2005-04-08 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000069.SZ,华侨城A,XSHE,2019-05-15 00:00:00,0.26,2005-04-08 00:00:00,2024-06-17 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000100.SZ,TCL集团,XSHE,2019-05-15 00:00:00,0.33,2009-01-05 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000157.SZ,中联重科,XSHE,2019-05-15 00:00:00,0.2,2005-04-08 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000166.SZ,申万宏源,XSHE,2019-05-15 00:00:00,0.28,2015-01-26 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000333.SZ,美的集团,XSHE,2019-05-15 00:00:00,2.02,2013-09-18 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000338.SZ,潍柴动力,XSHE,2019-05-15 00:00:00,0.5,2008-01-02 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000402.SZ,金融街,XSHE,2019-05-15 00:00:00,0.08,2005-04-08 00:00:00,2019-12-16 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000408.SZ,藏格控股,XSHE,2019-05-15 00:00:00,0.04,2018-12-17 00:00:00,2019-12-16 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000413.SZ,东旭光电,XSHE,2019-05-15 00:00:00,0.19,2014-06-16 00:00:00,2020-06-15 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000415.SZ,渤海租赁,XSHE,2019-05-15 00:00:00,0.07,2015-12-14 00:00:00,2020-06-15 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000423.SZ,东阿阿胶,XSHE,2019-05-15 00:00:00,0.16,2008-01-02 00:00:00,2020-06-15 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000425.SZ,徐工科技,XSHE,2019-05-15 00:00:00,0.18,2005-04-08 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000503.SZ,海虹控股,XSHE,2019-05-15 00:00:00,0.13,2014-06-16 00:00:00,2019-06-17 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000538.SZ,云南白药,XSHE,2019-05-15 00:00:00,0.36,2005-07-01 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000553.SZ,安道麦A,XSHE,2019-05-15 00:00:00,0.02,2018-12-17 00:00:00,2019-12-16 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000568.SZ,泸州老窖,XSHE,2019-05-15 00:00:00,0.49,2005-04-08 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000625.SZ,长安汽车,XSHE,2019-05-15 00:00:00,0.13,2005-04-08 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000627.SZ,天茂集团,XSHE,2019-05-15 00:00:00,0.08,2016-12-12 00:00:00,2021-06-15 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000630.SZ,铜陵有色,XSHE,2019-05-15 00:00:00,0.13,2005-04-08 00:00:00,2020-06-15 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000651.SZ,格力电器,XSHE,2019-05-15 00:00:00,2.31,2005-04-08 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000661.SZ,长春高新,XSHE,2019-05-15 00:00:00,0.36,2018-12-17 00:00:00,2026-06-15 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000671.SZ,阳光城,XSHE,2019-05-15 00:00:00,0.09,2016-12-12 00:00:00,2021-06-15 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000703.SZ,恒逸石化,XSHE,2019-05-15 00:00:00,0.13,2018-12-17 00:00:00,2022-12-12 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000709.SZ,唐钢股份,XSHE,2019-05-15 00:00:00,0.11,2005-04-08 00:00:00,2020-12-14 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000725.SZ,京东方A,XSHE,2019-05-15 00:00:00,0.7,2012-07-02 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000728.SZ,国元证券,XSHE,2019-05-15 00:00:00,0.16,2008-07-01 00:00:00,2021-12-13 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000768.SZ,西飞国际,XSHE,2019-05-15 00:00:00,0.18,2006-01-04 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000776.SZ,广发证券,XSHE,2019-05-15 00:00:00,0.36,2011-01-04 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000783.SZ,长江证券,XSHE,2019-05-15 00:00:00,0.26,2008-07-01 00:00:00,2022-06-13 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000786.SZ,北新建材,XSHE,2019-05-15 00:00:00,0.14,2018-06-11 00:00:00,2026-06-15 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000792.SZ,盐湖钾肥,XSHE,2019-05-15 00:00:00,0.08,2005-04-08 00:00:00,2019-06-17 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000826.SZ,桑德环境,XSHE,2019-05-15 00:00:00,0.07,2013-12-16 00:00:00,2019-06-17 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000839.SZ,中信国安,XSHE,2019-05-15 00:00:00,0.1,2016-06-13 00:00:00,2019-06-17 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000858.SZ,五粮液,XSHE,2019-05-15 00:00:00,1.83,2005-04-08 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000876.SZ,新希望,XSHE,2019-05-15 00:00:00,0.33,2007-07-02 00:00:00,2026-06-15 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000895.SZ,双汇发展,XSHE,2019-05-15 00:00:00,0.22,2008-01-02 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000898.SZ,鞍钢股份,XSHE,2019-05-15 00:00:00,0.08,2017-12-11 00:00:00,2020-06-15 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000938.SZ,紫光股份,XSHE,2019-05-15 00:00:00,0.07,2016-12-12 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000959.SZ,首钢股份,XSHE,2019-05-15 00:00:00,0.05,2017-06-12 00:00:00,2019-06-17 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000961.SZ,中南建设,XSHE,2019-05-15 00:00:00,0.14,2017-06-12 00:00:00,2021-06-15 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000963.SZ,华东医药,XSHE,2019-05-15 00:00:00,0.23,2013-07-01 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,000983.SZ,西山煤电,XSHE,2019-05-15 00:00:00,0.08,2016-12-12 00:00:00,2019-06-17 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,001965.SZ,招商公路,XSHE,2019-05-15 00:00:00,0.04,2018-06-11 00:00:00,2019-06-17 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,001979.SZ,招商蛇口,XSHE,2019-05-15 00:00:00,0.43,2015-12-30 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,002001.SZ,新和成,XSHE,2019-05-15 00:00:00,0.15,2018-12-17 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,002007.SZ,华兰生物,XSHE,2019-05-15 00:00:00,0.21,2010-01-04 00:00:00,2025-06-16 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,002008.SZ,大族激光,XSHE,2019-05-15 00:00:00,0.26,2014-06-16 00:00:00,2023-06-12 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,002024.SZ,苏宁电器,XSHE,2019-05-15 00:00:00,0.36,2005-07-01 00:00:00,2022-06-13 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,002027.SZ,分众传媒,XSHE,2019-05-15 00:00:00,0.36,2016-06-13 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,002032.SZ,苏泊尔,XSHE,2019-05-15 00:00:00,0.1,2018-12-17 00:00:00,2023-06-12 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,002044.SZ,美年健康,XSHE,2019-05-15 00:00:00,0.23,2017-06-12 00:00:00,2022-06-13 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,002050.SZ,三花智控,XSHE,2019-05-15 00:00:00,0.1,2018-06-11 00:00:00,
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,002065.SZ,东华软件,XSHE,2019-05-15 00:00:00,0.12,2013-12-16 00:00:00,2019-12-16 00:00:00
000300.SH,沪深300,2019-05-15,get_index_component,000300,000300.SH,沪深300,XSHG,002081.SZ,金螳螂,XSHE,2019-05-15 00:00:00,0.14,2012-07-02 00:00:00,2020-06-15 00:00:00
